date	time	id	media	forwarded	file	title_snippet
2023-09-21	10:23:49	3	none	no	posts/2023/2023-09-21-3.md	Мысль о том, что пора завести канал, пришла недавно. Родилась на почве
2023-09-21	11:07:31	4	none	no	posts/2023/2023-09-21-4.md	Важно сразу договориться об общей терминологии. Буду брать куски из пр
2023-09-21	11:58:29	7	none	no	posts/2023/2023-09-21-7.md	Если начать погружаться в ... даже не знаю как это назвать... **катего
2023-09-21	19:59:36	8	none	no	posts/2023/2023-09-21-8.md	Слушал на прогулке [эпизод](https://podcasts.apple.com/lt/podcast/the-
2023-09-22	12:31:40	10	none	no	posts/2023/2023-09-22-10.md	Сегодня хочу поделиться отправной точкой для того, что сегодня называю
2023-09-22	14:39:18	11	photo	no	posts/2023/2023-09-22-11.md	Хочется поделиться с вами информацией об одной из наиболее авторитетны
2023-09-23	13:27:43	12	photo	no	posts/2023/2023-09-23-12.md	Что??!? Энтэогены лечат #мигрень??? Серьёзно?🤯
2023-09-24	15:11:01	13	photo	no	posts/2023/2023-09-24-13.md	Погоди-ка, гражданин.🕵️‍♂️ Вы что это? Всерьёз что ли? Хотите сказать,
2023-09-25	19:04:01	14	photo	no	posts/2023/2023-09-25-14.md	Что за мать его #псилоцибин?! Вы тут наркоманы что ли?!!!
2023-09-26	19:05:15	15	photo	no	posts/2023/2023-09-26-15.md	Какого черта мы говорим про россиянку Валентину? 🤯
2023-09-27	19:05:13	16	photo	no	posts/2023/2023-09-27-16.md	Так, погоди-ка, в смысле?! Это фармкомпании что ли произвели наркотики
2023-09-28	19:05:13	17	photo	no	posts/2023/2023-09-28-17.md	То есть это что получается? Психиатры и психологи пичкали наркотой пац
2023-09-29	19:05:22	18	photo	no	posts/2023/2023-09-29-18.md	ЧТО?!?! Древние греки потребляли энтеогены???? 😵‍💫 В смысле??? 🤯 Их же
2023-09-30	19:05:14	19	photo	no	posts/2023/2023-09-30-19.md	Почему ради Бога эти люди принимают принимают это??? 🤮
