series	episode	title	word_count	file	source_file
The Other Russian	001	if you've ever heard of a song by headaway what is Life Baby don't hurt me don't hurt me no more you may remember that you so my name is blood is	5942	posts/the-other-russian/EP001-if-youve-ever-heard-of-a-song-by-headaway-what-is-Life-Baby.md	Vlad's podcast. Episode 01.pdf
The Other Russian	002	welcome to the episode of The Other Russian so today I'm gonna go back and try to finish where I stay lost time so yeah the electricity went down I	5188	posts/the-other-russian/EP002-welcome-to-the-episode-of-The-Other-Russian-so-today-Im-gonn.md	Vlad's podcast. Episode 02.pdf
The Other Russian	003	right so let's do it episode 3 of the other Russia so today we're gonna talk about thing like male go this is a very touchy topic haha this is turns	5666	posts/the-other-russian/EP003-right-so-lets-do-it-episode-3-of-the-other-Russia-so-today-w.md	Vlad's podcast. Episode 03.pdf
The Other Russian	004	welcome to another episode of the other Russian so today I'm gonna talk about a project of mine that I've mentioned before it's called The Shock Tea	4076	posts/the-other-russian/EP004-welcome-to-another-episode-of-the-other-Russian-so-today-Im.md	Vlad's podcast. Episode 04.pdf
The Other Russian	005	welcome to another episode of the other Russians so first and foremost I must apologize for all those people who suffered throughout the previous	6703	posts/the-other-russian/EP005-welcome-to-another-episode-of-the-other-Russians-so-first-an.md	Vlad's podcast. Episode 05.pdf
The Other Russian	006	welcome to the episode of the other Russian so that strange Russian guy keeps on talking about something with shitty production but that's me so yeah	6848	posts/the-other-russian/EP006-welcome-to-the-episode-of-the-other-Russian-so-that-strange.md	Vlad's podcast. Episode 06.pdf
The Other Russian	007	welcome to the new episode of the other Russian so this time I'm getting filming from Leah this is the capital of Ladakh and this is the palace this	6199	posts/the-other-russian/EP007-welcome-to-the-new-episode-of-the-other-Russian-so-this-time.md	Vlad's podcast. Episode 07.pdf
The Other Russian	008	hello and welcome to the new episode of the other Russian I have arrived to my base in Lithuania and yesterday I arrived from India and it was a long	5336	posts/the-other-russian/EP008-hello-and-welcome-to-the-new-episode-of-the-other-Russian-I.md	Vlad's podcast. Episode 08.pdf
The Other Russian	009	welcome to the new episode of The Other Rush today I'm gonna talk to you about Himalayas and of course remote work because it is part of it anyway so	5330	posts/the-other-russian/EP009-welcome-to-the-new-episode-of-The-Other-Rush-today-Im-gonna.md	Vlad's podcast. Episode 09.pdf
The Other Russian	010	welcome to a new episodes of the Other Russian and I haven't been recording in a while I've been traveling and recovering from the traveling went	4516	posts/the-other-russian/EP010-welcome-to-a-new-episodes-of-the-Other-Russian-and-I-havent.md	Vlad's podcast. Episode 10.pdf
The Other Russian	011	welcome to a new episode of the other Russian that Russian dude that keeps on talking about something something irrelevant relevant depending on the	4011	posts/the-other-russian/EP011-welcome-to-a-new-episode-of-the-other-Russian-that-Russian-d.md	Vlad's podcast. Episode 11.pdf
