sha256	title_inferred	language_provisional	edition_hint	year_hint	authority_provisional	bibliographic_review	completeness_provisional	extraction_status
a4e912ebe529f50092f9580dd6da1c57ac1e1de6fb4922f2c347bb1a20ba8a07	Motivational Interviewing: Helping People Change and Grow	en	Fourth edition	2023	research-informed professional text	confirmed	complete	complete
ab8bd8162334105ccc66fb7583330792f1cf60655dee67ed63c6d10910c54899	Co-Active Coaching: The Proven Framework for Transformative Conversations at Work and in Life	en	Fourth edition	2018	commercial practitioner framework	confirmed	complete	complete
afc379a37337b3e238ec2226fd891c5c853f4c752cae8b92a87823ce6e100c8f	The Solutions Focus: The SIMPLE Way to Positive Change	en	First edition	2002	practitioner method with historical research review	confirmed	complete	complete
2320dfb4e27c3cbb28d04424c42da412565c04ef556623581bf06b5cbd8ab1b4	Positive Provocation: 25 Questions to Elevate Your Coaching Practice	en	First edition	2023	research-informed practitioner argument	confirmed	complete	complete
6590aefe3e89f6f6ca9aafbb8573c5fa8db6230aaf8d323b0345cb951a694cde	Deep Work: Rules for Focused Success in a Distracted World	en	First edition	2016	research-informed popular practitioner book	confirmed	complete	complete
85e4b5b46a2f1b8d5c9eeb6ea48552e3584f032eefdbc71487db2cb5d118b4e7	Expert Secrets: The Underground Playbook for Creating a Mass Movement of People Who Will Pay for Your Advice	en	First edition	2017	commercial practitioner playbook	confirmed	complete	complete
862eef8c2a5897030c443b5df9e2975b3e949b80392f1b632ce18a35f5af7109	Good Strategy/Bad Strategy: The Difference and Why It Matters	en	First edition	2011	expert practitioner strategy text	confirmed	complete	complete
74740a059b40fdacfa8db1e17dd9be4c2e7c52e7877e103214556196bb5494f0	Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant	en	Expanded edition	2015	research-derived commercial strategy framework	confirmed	complete	complete
6586cbad52229113360653d2310012a5dd0ad09c5ce2dd5c1cb4d15288df5171	Positioning: The Battle for Your Mind	en	McGraw-Hill edition	2001	classic practitioner marketing framework	confirmed	complete	complete
2af9b773aec2a2632d8ae7c44b30dc713da8be8744ca20bc2d9147c5b0f094f1	Play Bigger: How Pirates, Dreamers, and Innovators Create and Dominate Markets	en	First edition	2016	commercial practitioner category-design framework	confirmed	complete	complete
5a760a6f534061592bea822c91b23f074ff4a35f4274f4c8486b00dcca0acd59	How Brands Grow: What Marketers Don't Know	en	Revised ebook edition	2014	empirical marketing-science synthesis	confirmed	complete	complete
913694a724833e996346f99a587b9722ab64a9c10a37e784b7e2ec667a370331	Building Strong Brands	en	First edition	1996	foundational practitioner-academic brand framework	confirmed	complete	complete
22c0fe9fe35ec8cfcfde9aeb37fc5207d3438ee3b50ddd2cd05ecc8ca0357849	This Is Marketing	en	First edition	2018	popular practitioner ethical-marketing framework	confirmed	complete	complete
f266ab8a991ebfa5307846e2a1e51f57c6e368689754b1a76f12bba6fd7ec875	Influence, New and Expanded	en	New and expanded edition	2021	research-informed popular social-psychology synthesis	confirmed	complete	complete
8524a495ec92b5b229c421c2f8eaa9d17c1366579eb19c077f6051ced4231517	Made to Stick	en	Expanded edition	2008	research-informed popular communication framework	confirmed	complete	complete
a5051e435164f83a555310a6dccc613f3ccf7aebd21d98f4ce2e8aba09ef57ce	Building a StoryBrand 2.0	en	Version 2.0	2025	commercial practitioner messaging framework	confirmed	complete	complete
85b4cc8787dcdce718963a393d692b6e43c88530a89aa5e94cc78635d81027ad	LinkedIn Unlocked	en	First edition	2018	commercial practitioner LinkedIn playbook	confirmed	complete	complete
73dcae88716e2b7c4b5426f31509c24556b44c7d87a7e0dff232ec22340c12df	The Ultimate LinkedIn Sales Guide	en	First edition	2021	commercial practitioner LinkedIn sales playbook	confirmed	complete	complete
d98f698445d5f175ebc1fab80313739898002cd0f6f68d894594a28ee11f80a5	LinkedIn for Personal Branding: The Ultimate Guide	en	Revised edition	2021	commercial practitioner LinkedIn branding guide	confirmed	complete	complete
6d41521c2451e2d72dd85b035f74bdc967c2773a5d6563a43e2da73bf16a5585	The Ultimate LinkedIn Messaging Guide	en	First Wiley edition	2023	commercial practitioner LinkedIn messaging playbook	confirmed	complete	complete
